bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,bet_info,tags,sports,leagues
PlacedBet:q7lRkgXBIqpN6CBInqaQzBhM/vY=,ESPNBet,parlay,SETTLED_LOSS,7.85,,,5,-5.00,12/20/2023 00:07:30 GMT,12/20/2023 02:02:22 GMT,Chattanooga -4.5 Match Spread Gardner-Webb Runnin' Bulldogs @ Chattanooga Mocs | Alabama State +21.5 Match Spread USC Trojans @ Alabama State Hornets | Marquette Moneyline Marquette Golden Eagles @ Providence Friars | Cal Baptist Moneyline Western Kentucky Hilltoppers @ California Baptist Lancers,,Basketball,NCAAM
638386198180351666,Draftkings Sportsbook,parlay,SETTLED_LOSS,28.29,,,3.75,-3.75,12/19/2023 21:56:58 GMT,12/20/2023 01:59:29 GMT,Under 8.5 Alternate Total Goals CBJ Blue Jackets @ BUF Sabres | Under 8.5 Alternate Total Goals EDM Oilers @ NY Islanders | Under 8.5 Alternate Total Goals STL Blues @ TB Lightning | LA Kings Winner LA Kings @ SJ Sharks | Under 2.5 Alternate Total Goals - 1st Period COL Avalanche @ CHI Blackhawks | Under 8.5 Alternate Total Goals VGK Golden Knights @ CAR Hurricanes | Under 7.5 Alternate Total Goals NY Rangers @ TOR Maple Leafs | Under 8.5 Alternate Total Goals OTT Senators @ ARI Coyotes | Under 8.5 Alternate Total Goals PHI Flyers @ NJ Devils | MIN Wild +2.5 Alternate Puck Line MIN Wild @ BOS Bruins,,Ice Hockey,NHL
638382655520281320,Draftkings Sportsbook,parlay,SETTLED_LOSS,24.31,,,5,-5.00,12/15/2023 19:32:33 GMT,12/19/2023 21:26:22 GMT,Under 4.5 Total Goals Bayern Munchen vs Stuttgart | Under 4.5 Total Goals Hoffenheim vs SV Darmstadt 98 | Under 4.5 Total Goals Werder Bremen vs RB Leipzig | Under 4.5 Total Goals Leverkusen vs Eintracht Frankfurt | Under 4.5 Total Goals Man City vs Crystal Palace | Under 4.5 Total Goals Liverpool vs Man Utd | Under 4.5 Total Goals Arsenal vs Brighton | Under 4.5 Total Goals Chelsea vs Sheffield Utd | Under 4.5 Total Goals Napoli vs Cagliari | Tie or Paris St-Germain Double Chance Lille vs Paris St-Germain,,Soccer,English Premier League | La Liga | Bundesliga
PlacedBet:LljVbRg/JybVhLaCVmr6n3gn2+k=,ESPNBet,straight,SETTLED_WIN,4.30,,,15,49.50,12/19/2023 19:29:44 GMT,12/19/2023 20:59:12 GMT,Over 4.5 Total Goals 1899 Hoffenheim vs SV Darmstadt 98,,Soccer,Bundesliga
638386025809889895,Draftkings Sportsbook,straight,SETTLED_LOSS,5.75,,,2,-2.00,12/19/2023 17:09:40 GMT,12/19/2023 19:27:14 GMT,5 Goals Total Number of Goals Werder Bremen vs RB Leipzig,,Soccer,Bundesliga
638386028343253485,Draftkings Sportsbook,straight,SETTLED_LOSS,5.75,,,3,-3.00,12/19/2023 17:13:54 GMT,12/19/2023 19:27:13 GMT,5 Goals Total Number of Goals Werder Bremen vs RB Leipzig,,Soccer,Bundesliga
638386025809889897,Draftkings Sportsbook,straight,SETTLED_LOSS,6.00,,,2,-2.00,12/19/2023 17:09:40 GMT,12/19/2023 19:27:09 GMT,Over 5.5 Total Goals Werder Bremen vs RB Leipzig,,Soccer,Bundesliga
638386028059362114,Draftkings Sportsbook,straight,SETTLED_LOSS,6.00,,,3,-3.00,12/19/2023 17:13:26 GMT,12/19/2023 19:27:08 GMT,Over 5.5 Total Goals Werder Bremen vs RB Leipzig,,Soccer,Bundesliga
PlacedBet:ilJw4JyTRCVfeBa3T/MQKqVVyeo=,ESPNBet,parlay,SETTLED_LOSS,5.72,,,15,-15.00,12/19/2023 00:20:57 GMT,12/19/2023 04:33:36 GMT,Yes D'Andre Swift To Score A Touchdown Philadelphia Eagles @ Seattle Seahawks | No Dallas Goedert To Score A Touchdown Philadelphia Eagles @ Seattle Seahawks | No Quez Watkins To Score A Touchdown Philadelphia Eagles @ Seattle Seahawks | No DeVonta Smith To Score A Touchdown Philadelphia Eagles @ Seattle Seahawks,,American Football,NFL
O/0586450/0000145,Fanduel Sportsbook,parlay,SETTLED_LOSS,3.81,,,3.5,-3.50,12/18/2023 23:00:03 GMT,12/19/2023 04:32:29 GMT,Kawhi Leonard 2+ Made Threes Los Angeles Clippers @ Indiana Pacers | Saddiq Bey 2+ Made Threes Detroit Pistons @ Atlanta Hawks | Grant Williams 2+ Made Threes Dallas Mavericks @ Denver Nuggets,,Basketball,NBA
